Study_Hours,Attendance,Assignments_Completed,Previous_Exam_Score,Pass
5.4,95.3,2,63.5,1
9.9,55.6,5,55.7,1
3.2,74.6,8,56.1,0
7.0,50.6,9,59.8,1
7.9,73.4,2,77.3,1
3.1,52.8,3,70.9,0
7.6,55.9,3,62.6,0
4.3,55.9,1,39.6,0
6.7,82.5,8,39.7,0
6.7,87.3,6,35.1,1
5.8,79.2,8,93.1,1
1.8,98.1,9,35.3,0
8.5,68.7,5,41.2,1
3.9,64.3,3,53.9,0
2.7,93.4,5,83.4,0
1.4,61.2,5,92.7,0
6.3,98.2,5,82.4,1
7.1,50.6,3,76.4,0
1.1,98.5,10,66.3,0
5.6,52.2,4,40.2,0
3.0,94.6,9,92.5,1
6.8,76.4,10,80.5,1
2.6,99.6,9,73.3,1
7.2,53.7,2,80.5,0
4.5,77.7,8,78.4,1
9.4,98.5,8,73.2,1
2.2,76.2,7,93.8,0
4.1,81.5,8,89.2,1
2.0,84.8,3,73.8,0
9.3,72.7,6,76.6,1
8.9,81.4,1,38.1,1
3.3,79.2,7,75.2,0
6.9,95.1,1,37.6,0
8.4,52.3,9,70.3,0
6.0,64.0,1,95.0,1
5.8,97.5,1,68.3,1
3.2,94.5,7,63.4,0
1.8,72.8,2,53.8,0
9.1,81.0,5,42.2,1
9.1,63.9,8,78.9,1
6.7,59.4,8,46.6,1
4.1,73.2,3,41.9,0
4.1,67.7,7,60.3,0
7.5,79.2,3,82.7,1
9.1,53.9,6,79.7,1
9.0,98.7,6,38.3,1
8.0,99.3,3,62.3,0
6.8,84.9,7,66.3,1
1.8,76.8,3,73.7,0
2.5,65.5,8,74.0,1
9.1,90.7,10,56.9,1
6.5,84.2,4,68.6,0
1.1,58.1,1,63.9,0
1.9,95.5,4,88.1,0
7.0,91.1,7,66.8,1
1.0,97.5,4,61.5,0
2.4,86.3,6,59.3,0
5.9,80.7,9,69.3,1
7.2,70.9,1,83.2,1
6.9,96.6,5,67.3,1
3.0,93.3,7,74.7,1
7.4,52.3,1,79.3,0
3.1,51.3,4,66.2,0
3.9,68.8,6,60.6,0
7.7,90.5,2,87.6,1
6.8,99.4,10,60.1,1
8.6,57.5,5,62.7,0
6.9,79.7,10,94.4,1
6.1,69.0,1,35.0,0
1.8,98.5,6,46.1,1
4.3,92.1,6,58.0,0
3.4,91.9,4,91.0,1
3.2,73.4,8,39.2,0
9.8,70.7,4,35.6,0
4.5,63.7,8,38.2,0
9.0,52.8,8,40.3,1
6.7,93.2,5,37.3,0
8.2,90.6,4,63.8,1
5.5,100.0,2,69.8,1
6.2,99.8,3,51.3,1
5.4,77.8,3,58.9,0
2.8,88.4,4,40.5,0
7.5,97.2,4,55.2,0
3.5,92.5,10,66.4,1
1.2,62.4,5,78.9,0
6.8,72.5,4,35.2,0
2.6,56.5,10,63.0,0
9.5,97.7,8,52.8,1
9.6,80.3,6,86.2,1
9.2,61.4,6,77.9,1
4.3,83.6,8,70.3,1
1.1,80.9,7,51.6,0
9.4,67.9,10,89.6,1
4.9,55.7,10,37.7,0
9.7,83.6,8,41.6,1
9.7,76.0,2,58.5,0
8.7,88.6,9,42.5,1
3.7,76.0,1,92.4,0
4.5,92.6,8,82.9,1
8.7,77.6,4,50.5,0
3.9,78.0,4,70.3,0
2.5,93.8,5,93.9,0
6.0,70.2,8,88.1,1
9.4,56.7,5,71.0,1
7.3,51.4,8,89.2,1
6.1,87.8,10,94.4,1
1.9,81.0,1,79.6,0
6.5,85.2,10,38.9,1
9.9,60.6,9,59.1,1
2.3,56.8,6,85.3,0
5.7,50.7,3,48.8,0
8.9,67.5,8,84.8,1
7.7,79.5,9,42.2,1
7.3,69.6,6,37.8,1
7.3,71.9,7,58.0,1
4.2,95.2,1,37.2,0
3.6,67.4,5,92.4,1
8.3,75.7,5,84.6,1
8.3,89.2,10,83.0,1
8.8,69.8,4,72.8,0
9.2,81.1,6,48.0,1
5.6,93.1,7,66.1,1
5.5,97.5,9,70.8,1
8.2,57.4,1,66.5,0
6.8,96.3,6,50.6,0
7.3,74.6,7,65.9,1
8.2,62.9,3,64.5,1
9.0,73.0,8,94.8,1
4.0,99.0,5,88.8,1
4.4,74.6,9,62.8,1
1.8,66.4,5,72.4,0
6.2,81.7,9,79.9,1
1.3,62.0,10,37.1,0
5.2,53.8,4,88.7,1
5.9,56.4,9,86.6,0
3.6,56.4,5,62.4,0
6.3,57.6,10,58.5,1
1.3,56.9,9,51.4,0
1.3,82.0,3,63.6,0
8.4,59.1,4,37.7,0
4.2,67.3,9,86.1,1
2.1,94.8,10,37.1,0
5.7,73.7,6,54.7,1
7.9,83.4,2,90.9,1
2.9,58.6,7,79.1,0
6.6,59.6,2,51.9,0
1.8,52.0,2,50.2,0
